Loc,Loc Name,Loc St Abbrev,Loc Cnty,Loc Zone,Dir Flo,Loc Type Ind,PipeCode,GFPipeID,PipeName,GFLocID
70034,"PHILADELPHIA GAS WORKS - LEVICK ST., PA",PA,MONTGOMERY,3,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200070034
73909,LINDEN COGEN BAYWAY,NJ,UNION,3,D,END,TE,120,"Texas Eastern Transmission, LP",1200073909
72963,"AUBURN ENTERPRISES - KERLICK #1, DEWITT, TX",TX,DE WITT,STX,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200072963
N4CP1,(VEC) CROWN POINT,IN,LAKE,M2,D,STA,NXUS,115,"NEXUS Gas Transmission, LLC (U.S.)",11500N4CP1
N2001,NEXUS/TGP MRO1,OH,COLUMBIANA,M1,R,INT,NXUS,115,"NEXUS Gas Transmission, LLC (U.S.)",11500N2001
59338,"GEOMET OPERATING-JEWELL RIDGE-TAZEWELL CO., VA",VA,TAZEWELL,,R,WHD,ETNG,105,"East Tennessee Natural Gas, LLC",1050059338
72668,"UNITED GAS & MINERALS - #1 GOFF, WHARTON COUNTY, TX",TX,WHARTON,STX,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200072668
45307,FLORIDA GAS TRANSMISSION (TPGS1080B),TX,MATAGORDA,,B,INT,TPGS,121,Tres Palacios Gas Storage LLC,1210045307
59218,"PIEDMONT/HENDERSONVILLE, SUMNER CO, TN.",TN,SUMNER,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059218
59130,UCG ABINGDON,VA,WASHINGTON,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059130
70655,"LINN EXCHANGE PROPERTIES, LLC- SOUTHWEST GOHLKE CP - VICTORIA, TX",TX,VICTORIA,STX,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200070655
59000,KUB EAST,TN,KNOX,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059000
00017,"NEW BEDFORD (BRISTOL,MA)",MA,BRISTOL,,D,LDC,AGT,100,"Algonquin Gas Transmission, LLC",1000000017
00015,"FREETOWN (BRISTOL,MA)",MA,BRISTOL,,D,LDC,AGT,100,"Algonquin Gas Transmission, LLC",1000000015
59028,UCG JOHNSON CITY EAST,TN,WASHINGTON,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059028
79714,MIDWEST BROWNSTOWN & MEDORA - LDC ALLOCATION POINT,IN,JACKSON,2,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200079714
99200,NJ-NY MAINLINE,NY,ROCKLAND,,D,INT,AGT,100,"Algonquin Gas Transmission, LLC",1000099200
73613,"BUFFCO PROD./SOUTHERN EGG RANCH-SHELBY CO., TX",TX,SHELBY,ETX,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073613
71044,"PEOPLES GAS COMPANY LLC - DELMONT, PA",PA,WESTMORELAND,2,D,LDC,TE,120,"Texas Eastern Transmission, LP",1200071044
59330,"TEXAS EASTERN - HARTSVILLE, TN",TN,TROUSDALE,,R,INT,ETNG,105,"East Tennessee Natural Gas, LLC",1050059330
72172,"MAR. OIL -MURPHREE -MONROE, MS",MS,MONROE,1,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200072172
88210,TE - LAMBERTVILLE,NJ,HUNTERDON,,R,INT,AGT,100,"Algonquin Gas Transmission, LLC",1000088210
73282,"SONERRA RESOURCES - MOUNTAIN WEST, NACOG. CO., TX (REC)",TX,NACOGDOCHES,ETX,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200073282
72249,"TRI-UNION DEV. CORP.-#1 WRIGHT /  GOLIAD COUNTY, TX  (REC)",TX,GOLIAD,STX,R,WHD,TE,120,"Texas Eastern Transmission, LP",1200072249
79114,LATERAL 10-R - DENA WASHINGTON CO. POWER PLANT - MAINLINE,OH,WASHINGTON,2,D,OTH,TE,120,"Texas Eastern Transmission, LP",1200079114
80095,J-2 SYSTEM MAINLINE,MA,MIDDLESEX,,D,STA,AGT,100,"Algonquin Gas Transmission, LLC",1000080095
39003,WESTBROOK LATERAL,ME,CUMBERLAND,,R,STA,MNUS,111,"Maritimes & Northeast Pipeline, L.L.C. (U.S.)",1110039003
76865,"EQT PENNVIEW, INDIANA CO., PA - REC (B/D 72865)",PA,INDIANA,3,R,OTH,TE,120,"Texas Eastern Transmission, LP",1200076865
79051,OHIO PIPELINE ENERGY NETWORK (LATERAL),OH,JEFFERSON,2,D,STA,TE,120,"Texas Eastern Transmission, LP",1200079051
59148,APPALACHIAN CASTLEWOOD DELIVERY,VA,RUSSELL,,D,LDC,ETNG,105,"East Tennessee Natural Gas, LLC",1050059148
